Pterygoplichthys disjunctivus
Pterygoplichthys multiradiatus
Pterygoplichthys pardalis
Pterygoplichthys spp.
Puccinia psidii
Pueraria montana var. lobata
Pycnonotus cafer
Pycnonotus jocosus
Pylodictis olivaris
Pyrus calleryana
Python molurus bivittatus
Quadrastichus erythrinae
Radumeris tasmaniensis
Raffaelea lauricola
Ramphotyphlops braminus
Rangia cuneata
Rangifer tarandus
Ranunculus ficaria
Raoiella indica
Rapana venosa
Rattus exulans
Rattus norvegicus
Rattus rattus
Rauvolfia vomitoria
Rhamnus alaternus
Rhamnus cathartica
Rhinella marina (=Bufo marinus)
Rhithropanopeus harrisii
Rhizophora mangle
Rhododendron ponticum
Rhodomyrtus tomentosa
Rhus longipes
Ricinus communis
Rinderpest virus
Robinia pseudoacacia
Rosa bracteata
Rosa multiflora
Rottboellia cochinchinensis
Rubus alceifolius
Rubus discolor
Rubus ellipticus
Rubus moluccanus
Rubus niveus
Rubus phoenicolasius
Rubus pinnatus
Rubus rosifolius
Ruellia brevifolia
Rumex acetosella
Rumex crispus
Rumex obtusifolius
Rutilus rutilus
Sabella spallanzanii
Sacciolepis indica
Sagina procumbens
Sagittaria platyphylla
Sagittaria sagittifolia
Salix babylonica
Salix cinerea
Salix humboldtiana
Salmo salar
Salmo trutta
Salsola tragus
Salvelinus fontinalis
Salvelinus namaycush
Salvinia minima
Salvinia molesta
Samanea saman
Sansevieria hyacinthoides
Sansevieria trifasciata
Sargassum muticum
Sarotherodon occidentalis
Scaevola sericea
Scardinius erythrophthalmus
Schefflera actinophylla
Schinus terebinthifolius
Schismus arabicus
Schismus barbatus
Schizoporella errata
Schizoporella unicornis
Scinax ruber
Scinax x-signatus
Sciurus carolinensis
Scolopendra morsitans
Scyphophorus acupunctatus
Sechium edule
Senecio angulatus
Senecio inaequidens
Senecio jacobaea
Senecio squalidus
Senecio viscosus
Senecio vulgaris
Sesbania punicea
Setaria verticillata
Sirex noctilio
Sirococcus clavigignenti-juglandacearum
Solanum mauritianum
Solanum seaforthianum
Solanum sisymbriifolium
Solanum tampicense
Solanum torvum
Solanum viarum
Solenopsis geminata
Solenopsis invicta
Solenopsis papuana
Solenopsis richteri
Solidago canadensis
Sonchus asper
Sonchus oleraceus
Sorghum halepense
Spartina alterniflora
Spartina anglica
Spartina densiflora
Sparus aurata
Spathodea campanulata
Spermacoce verticillata
Sphaeroma quoianum (=S. quoyanum)
Sphagneticola trilobata
Spiraea japonica
Sporobolus indicus var. capensis
Stellaria alsine
Stellaria media
Streptopelia decaocto
Striga asiatica
Strobilanthes hamiltonianus
Sturnus vulgaris
Styela clava
Styela plicata
Suncus murinus
Sus scrofa
Syngonium podophyllum
Syzygium cumini
Syzygium jambos
Tabebuia heterophylla
Tamarix aphylla
Tamarix parviflora
Tamarix ramosissima
Tapinoma melanocephalum
Taraxacum officinale
Technomyrmex albipes
Tecoma capensis
Tecoma stans
Terminalia catappa
Tetropium fuscum
Thaumetopoea pityocampa
Thevetia peruviana
Thunbergia grandiflora
Thymophylla tenuiloba var. tenuiloba
Tibouchina urvilleana
Tilapia mariae
Tilapia zillii
Tinca tinca
Tithonia diversifolia
Tomicus piniperda
Toumeyella parvicornis
Trachemys scripta elegans
Trachycarpus fortunei
Tradescantia fluminensis
Tradescantia spathacea
Trapa natans
Trechisibus antarcticus
Triadica sebifera
Trichosurus vulpecula
Tridentiger trigonocephalus
Trididemnum solidum
Trifolium dubium
Trifolium repens
Triphasia trifolia
Trogoderma granarium
Tubastraea coccinea
Tussilago farfara
Typha latifolia
Ulex europaeus
Undaria pinnatifida
Urochloa maxima
Urochloa mutica
Urosalpinx cinerea
Utricularia gibba
Vallisneria nana
Vallisneria spiralis
Varanus indicus
Varanus niloticus
Varroa destructor
Verbascum thapsus
Verbena brasiliensis
Verbena rigida
Veronica serpyllifolia ssp. serpyllifolia
Vespa velutina nigrithorax
Vespula germanica
Vespula pensylvanica
Vespula vulgaris
Vibrio cholerae
Vinca major
Vitex rotundifolia
Vulpes vulpes
Vulpia bromoides
Wasmannia auropunctata
Waterhousea floribunda
Watersipora subtorquata
West Nile virus
Wisteria floribunda
Wisteria sinensis
Xanthium spinosum
Xanthomonas axonopodis pv.citri
Xenopus laevis
Xiphophorus hellerii
Xyleborus glabratus
Xylella fastidiosa
Xylosandrus compactus
Xylosandrus mutilatus
Yersinia pestis
Zantedeschia aethiopica
Zizania latifolia
Ziziphus mauritiana
Zoobotryon verticillatum
Zostera japonica
